competition,fixture_id,kickoff,home,away,our_home,our_draw,our_away,our_hg,our_ag,b365_h,b365_d,b365_a
Allsvenskan,19635905,2026-08-21 17:00:00,Sirius,Häcken,58.63,20.37,21.00,2.5,1.47,1.76,3.90,3.70
Allsvenskan,19635908,2026-08-22 13:00:00,Örgryte,Halmstad,44.55,26.27,29.18,1.68,1.32,1.91,3.60,3.40
Allsvenskan,19635904,2026-08-23 12:00:00,Västerås SK,Kalmar,35.80,28.32,35.89,1.36,1.36,2.57,3.40,2.35
Allsvenskan,19635909,2026-08-23 12:00:00,IFK Göteborg,Elfsborg,38.81,25.61,35.59,1.65,1.58,2.45,3.40,2.45
Allsvenskan,19635906,2026-08-23 14:30:00,Brommapojkarna,Degerfors,44.34,29.20,26.46,1.43,1.04,1.91,3.40,3.60
Allsvenskan,19635910,2026-08-23 14:30:00,Hammarby,GAIS,61.11,22.65,16.24,2.05,0.95,1.39,4.33,7.00
Allsvenskan,19635907,2026-08-24 17:00:00,Malmö FF,Djurgården,33.05,24.68,42.27,1.59,1.82,2.50,3.60,2.35
Austrian Bundesliga,19729280,2026-08-21 17:30:00,Ried,Grazer AK,47.98,26.69,25.33,1.67,1.14,1.96,3.40,3.70
Austrian Bundesliga,19729278,2026-08-22 15:00:00,Rheindorf Altach,Hartberg,50.64,28.10,21.25,1.55,0.91,1.76,3.50,4.50
Austrian Bundesliga,19729279,2026-08-22 17:30:00,Sturm Graz,Austria Lustenau,69.88,18.91,11.21,2.35,0.83,1.30,5.25,8.00
Belgian Pro League,19726085,2026-08-21 18:45:00,Standard Liège,La Louvière,52.06,26.21,21.73,1.72,1.02,1.80,3.50,4.00
Belgian Pro League,19726084,2026-08-22 14:00:00,Zulte-Waregem,SK Beveren,43.53,27.57,28.90,1.55,1.22,1.95,3.50,3.30
Belgian Pro League,19726083,2026-08-22 16:15:00,Sporting Charleroi,Mechelen,52.26,24.93,22.81,1.86,1.15,1.75,3.60,4.20
Belgian Pro League,19726081,2026-08-22 18:45:00,Antwerp,Genk,30.30,26.42,43.28,1.34,1.65,3.10,3.40,2.10
Belgian Pro League,19726079,2026-08-23 14:00:00,Lommel SK,Westerlo,32.70,25.52,41.78,1.5,1.72,2.50,3.40,2.50
Belgian Pro League,19726078,2026-08-23 16:30:00,Club Brugge,Cercle Brugge,73.57,13.91,12.51,3.53,1.53,1.29,5.25,8.00
Campeonato Brasileiro,19621849,2026-08-22 19:00:00,Fluminense,Remo,61.03,23.98,14.99,1.88,0.83,1.39,4.33,7.00
Campeonato Brasileiro,19621843,2026-08-22 21:30:00,Internacional,Atlético Mineiro,42.97,28.92,28.11,1.42,1.11,2.05,3.20,3.50
Campeonato Brasileiro,19621844,2026-08-22 23:30:00,Cruzeiro,Flamengo,31.20,27.82,40.97,1.26,1.48,3.00,3.20,2.25
Campeonato Brasileiro,19621841,2026-08-23 19:00:00,Vitória,Bahia,32.92,31.20,35.87,1.11,1.17,2.40,3.20,2.75
Campeonato Brasileiro,19621845,2026-08-23 19:00:00,Bragantino,Grêmio,56.24,25.49,18.27,1.77,0.92,1.66,3.60,4.75
Campeonato Brasileiro,19621846,2026-08-23 19:00:00,Palmeiras,Vasco da Gama,56.01,25.70,18.29,1.75,0.91,1.57,3.70,5.50
Campeonato Brasileiro,19621840,2026-08-23 21:30:00,Chapecoense,São Paulo,28.81,26.94,44.26,1.25,1.6,3.40,3.25,2.05
Campeonato Brasileiro,19621847,2026-08-23 21:30:00,Santos,Mirassol,51.85,24.47,23.68,1.89,1.23,1.86,3.50,4.10
Campeonato Brasileiro,19621842,2026-08-23 22:30:00,Coritiba,Corinthians,29.86,35.19,34.95,0.87,0.96,3.00,3.10,2.35
Campeonato Brasileiro,19621848,2026-08-24 23:00:00,Botafogo,Athletico PR,36.78,28.82,34.40,1.33,1.28,2.05,3.30,3.50
Championship,19729150,2026-08-22 11:30:00,Millwall,Norwich City,40.97,28.31,30.72,1.54,1.31,2.10,3.30,3.20
Championship,19729151,2026-08-22 11:30:00,Lincoln City,Portsmouth,36.42,29.79,33.79,1.35,1.3,2.35,3.25,2.65
Championship,19729154,2026-08-22 11:30:00,Birmingham City,Bristol City,48.07,29.46,22.47,1.52,0.98,1.71,3.60,4.33
Championship,19729143,2026-08-22 14:00:00,Wrexham,Watford,44.79,27.92,27.29,1.62,1.23,1.86,3.50,3.80
Championship,19729144,2026-08-22 14:00:00,West Ham United,Charlton Athletic,70.64,18.78,10.59,2.48,0.91,1.30,4.50,7.50
Championship,19729146,2026-08-22 14:00:00,Swansea City,Sheffield United,39.37,27.45,33.18,1.58,1.44,2.35,3.30,2.75
Championship,19729147,2026-08-22 14:00:00,Southampton,Stoke City,58.50,23.91,17.59,2.04,1.06,1.66,3.90,4.10
Championship,19729148,2026-08-22 14:00:00,Queens Park Rangers,Bolton Wanderers,50.27,25.10,24.63,1.93,1.32,1.81,3.50,3.70
Championship,19729149,2026-08-22 14:00:00,Preston North End,Wolverhampton Wanderers,20.66,26.81,52.52,1.04,1.76,4.20,3.50,1.71
Championship,19729152,2026-08-22 14:00:00,Derby County,Cardiff City,50.41,26.04,23.56,1.83,1.21,1.86,3.40,3.50
Championship,19729153,2026-08-22 14:00:00,Blackburn Rovers,Middlesbrough,22.05,28.66,49.28,1,1.59,3.40,3.30,2.01
Championship,19729145,2026-08-23 11:00:00,West Bromwich Albion,Burnley,32.35,28.65,39.01,1.34,1.48,2.65,3.25,2.35
Eredivisie,19714655,2026-08-22 14:30:00,Fortuna Sittard,AZ,19.33,21.93,58.74,1.2,2.18,4.50,4.00,1.67
Eredivisie,19714653,2026-08-22 16:45:00,Sparta Rotterdam,FC Utrecht,29.82,25.82,44.36,1.36,1.7,2.63,3.40,2.45
